-5252,-2355
-1673,-824
8098,-3219
-3213,-1112
-12003,-1254
2569,-4369
15067,2890
1894,9577
-11912,6472
372,-3352
8333,-7988
-8257,3548
-10220,-318
-7320,-4072
-2313,-2149
1212,-4953
9356,-483
4648,3140
-5412,5368
-4910,-344
1703,-2775
5038,-2432
3275,2555
-908,5329
-682,-678
-3329,-5317
4001,-6050
8902,374
-1097,10262
-3552,9427
4612,1123
854,-3073
-2007,-1255
-8095,-1110
-9290,-3433
-5389,-5915
-1929,-4529
6470,-2209
7449,5494
2667,8153
2193,1270
-415,2559
4877,3536
9446,841
-4935,2611
-19039,-1904
-19353,-10710
-7665,-10986
5441,-3848
12190,5471
13600,8365
-1828,7867
-14249,7574
-12175,-4536
-6184,-8801
-1640,-10229
6811,-10009
3493,-1443
-4710,10126
640,10524
17596,9231
11551,6824
-5047,5697
-5049,-5323
6619,-9318
5242,-1660
2431,6080
9734,5716
10073,6204
-2005,9473
2608,10728
6602,2484
4863,-6560
-10915,-3201
-4994,-2960
2565,-7110
-4026,-976
-8873,270
-9267,2551
-6844,7
4624,-387
5239,3989
3357,7219
6705,-1976
7050,-6985
-4914,-298
-7891,6915
10000,234
8731,-475
-9454,7793
-7283,-970
-2942,-5649
-7966,-3320
-1915,-6331
-12165,-6119
-4852,-1531
7794,766
2370,10848
-6878,6677
2002,-1122
17605,-7061
7481,954
-1342,12464
11779,3269
4348,554
-3763,7450
2154,-3990
4013,-1773
3971,3794
3664,4790
-2965,1217
-1673,-127
5116,-774
-4504,1456
-7434,5029
4368,-558
7665,-121
1927,993
-6270,4511
-1379,2388
9,-6011
-7497,-900
-3653,-4544
1759,-3061
5595,2810
9359,167
7393,4506
-5471,7865
-3326,3691
2956,-253
4613,3263
8600,2734
13733,2962
7084,8646
1654,10536
-138,5194
1573,1437
5952,-323
9092,-3263
1792,-1547
5032,2782
7121,3311
6479,7761
-2608,7347
-6590,4969
2536,-2658
-2515,-925
-8851,2599
-2993,-1519
-4110,-1046
-9052,477
-6680,-6414
-4219,-9137
-4377,-7340
2904,-5194
8215,5119
9978,9696
3100,9034
2803,1908
-1111,-6208
-11252,102
-6067,-450
-2560,-962
2472,4336
8882,70
12151,2186
12243,7927
10282,8844
3063,2619
5760,1153
9472,-3037
4974,7906
-3124,10961
-8609,4326
-9629,-4757
583,-6944
2286,-1862
176,3542
-4120,5869
-1770,5431
2750,426
-1487,-2242
-2720,2138
13847,2750
